No.;ID Distrik;Tanggal kejadian;Distrik;Propinsi;Latitude dan Longitude
314;7204;29/05/2017;POSO;SULAWESI TENGAH;0
315;7210;29/05/2017;SIGI;SULAWESI TENGAH;0
316;1113;29/05/2017;GAYO LUES;ACEH;0
317;3206;24/04/2017;TASIKMALAYA;JAWA BARAT;0
318;1301;21/04/2017;KEPULAUAN MENTAWAI;SUMATERA BARAT;0
319;5171;22/03/2017;KOTA DENPASAR;BALI;0
320;8207;08/03/2017;PULAU MOROTAI;MALUKU UTARA;0
321;1118;16/02/2017;PIDIE JAYA;ACEH;0
322;1212;16/01/2017;DELI SERDANG;SUMATERA UTARA;0
323;1118;07/12/2016;PIDIE JAYA;ACEH;0
324;1109;07/12/2016;PIDIE;ACEH;0
325;1110;07/12/2016;BIREUEN;ACEH;0
326;3509;16/11/2016;JEMBER;JAWA TIMUR;0
327;3507;16/11/2016;MALANG;JAWA TIMUR;0
328;3273;06/11/2016;KOTA BANDUNG;JAWA BARAT;0
329;9431;28/08/2016;MAMBERAMO TENGAH;PAPUA;0
330;5205;01/08/2016;DOMPU;NUSA TENGGARA BARAT;0
331;8271;08/06/2016;KOTA TERNATE;MALUKU UTARA;0
332;1501;02/06/2016;KERINCI;JAMBI;0
333;1706;02/06/2016;MUKOMUKO;BENGKULU;0
334;1302;02/06/2016;PESISIR SELATAN;SUMATERA BARAT;0
335;1371;02/06/2016;KOTA PADANG;SUMATERA BARAT;0
336;1709;10/04/2016;BENGKULU TENGAH;BENGKULU;0
337;3512;04/04/2016;SITUBONDO;JAWA TIMUR;0
338;5208;31/03/2016;LOMBOK UTARA;NUSA TENGGARA BARAT;0
339;8201;24/02/2016;HALMAHERA BARAT;MALUKU UTARA;0
340;5301;12/02/2016;SUMBA BARAT;NUSA TENGGARA TIMUR;0
341;8104;17/01/2016;BURU;MALUKU;0
342;8106;28/12/2015;SERAM BAGIAN BARAT;MALUKU;0
343;6571;21/12/2015;KOTA TARAKAN;KALIMANTAN UTARA;0
344;3601;28/11/2015;PANDEGLANG;BANTEN;0
345;8201;16/11/2015;HALMAHERA BARAT;MALUKU UTARA;0
346;1172;08/11/2015;KOTA SABANG;ACEH;0
347;3601;04/11/2015;PANDEGLANG;BANTEN;0
348;5307;04/11/2015;ALOR;NUSA TENGGARA TIMUR;0
349;9171;24/09/2015;KOTA SORONG;PAPUA BARAT;0
350;9428;28/07/2015;MAMBERAMO RAYA;PAPUA;0
351;3508;26/07/2015;LUMAJANG;JAWA TIMUR;0
352;3301;25/07/2015;CILACAP;JAWA TENGAH;0
353;3519;25/06/2015;MADIUN;JAWA TIMUR;0
354;7504;16/06/2015;BONE BOLANGO;GORONTALO;0
355;5304;16/06/2015;TIMOR TENGAH SELATAN;NUSA TENGGARA TIMUR;0
356;7103;16/06/2015;KEPULAUAN SANGIHE;SULAWESI UTARA;0
357;7106;15/06/2015;MINAHASA UTARA;SULAWESI UTARA;0
358;1310;13/06/2015;SOLOK SELATAN;SUMATERA BARAT;0
359;5302;11/06/2015;SUMBA TIMUR;NUSA TENGGARA TIMUR;0
360;8102;10/06/2015;MALUKU TENGGARA;MALUKU;0
361;3503;05/06/2015;TRENGGALEK;JAWA TIMUR;0
362;1116;01/06/2015;ACEH JAYA;ACEH;0
363;8171;01/06/2015;KOTA AMBON;MALUKU;0
364;1704;31/05/2015;KAUR;BENGKULU;0
365;9427;31/05/2015;SUPIORI;PAPUA;0
366;8201;18/03/2015;HALMAHERA BARAT;MALUKU UTARA;0
367;7604;08/02/2015;MAMUJU;SULAWESI BARAT;0
368;8201;21/11/2014;HALMAHERA BARAT;MALUKU UTARA;0
369;7171;15/11/2014;KOTA MANADO;SULAWESI UTARA;0
370;1708;28/10/2014;KEPAHIANG;BENGKULU;0
371;1374;11/09/2014;KOTA PADANG PANJANG;SUMATERA BARAT;0
372;1305;11/09/2014;TANAH DATAR;SUMATERA BARAT;0
373;3520;14/07/2014;MAGETAN;JAWA TIMUR;0
374;3206;22/06/2014;TASIKMALAYA;JAWA BARAT;0
375;3512;04/05/2014;SITUBONDO;JAWA TIMUR;0
376;8171;02/05/2014;KOTA AMBON;MALUKU;0
377;1608;31/03/2014;OGAN KOMERING ULU SELATAN;SUMATERA SELATAN;0
378;3207;27/01/2014;CIAMIS;JAWA BARAT;0
379;3301;25/01/2014;CILACAP;JAWA TENGAH;0
380;3306;25/01/2014;PURWOREJO;JAWA TENGAH;0
381;3218;25/01/2014;PANGANDARAN;JAWA BARAT;0
382;3305;25/01/2014;KEBUMEN;JAWA TENGAH;0
383;3205;25/01/2014;GARUT;JAWA BARAT;0
384;3402;25/01/2014;BANTUL;DI YOGYAKARTA;0
385;3302;25/01/2014;BANYUMAS;JAWA TENGAH;0
386;3202;15/01/2014;SUKABUMI;JAWA BARAT;0
387;3202;18/12/2013;SUKABUMI;JAWA BARAT;0
388;3206;31/10/2013;TASIKMALAYA;JAWA BARAT;0
389;1109;22/10/2013;PIDIE;ACEH;0
390;3208;13/07/2013;KUNINGAN;JAWA BARAT;0
391;3329;13/07/2013;BREBES;JAWA TENGAH;0
392;3508;08/07/2013;LUMAJANG;JAWA TIMUR;0
393;3510;08/07/2013;BANYUWANGI;JAWA TIMUR;0
394;3507;08/07/2013;MALANG;JAWA TIMUR;0
395;1117;02/07/2013;BENER MERIAH;ACEH;0
396;1106;02/07/2013;ACEH TENGAH;ACEH;0
397;5201;22/06/2013;LOMBOK BARAT;NUSA TENGGARA BARAT;0
398;3304;19/04/2013;BANJARNEGARA;JAWA TENGAH;0
